év	időtartam	értékelés	rendező	bevétel	cím
2007	87	7.9	Richard Schenkman	0	The Man from Earth
1993	94	7.9	Yoshiaki Kawajiri	0	Jûbê ninpûchô
1973	123	7.9	Federico Fellini	0	Amarcord
1972	95	7.9	Werner Herzog	0	Aguirre, der Zorn Gottes
1960	144	7.9	Michelangelo Antonioni	0	L'avventura
1950	104	7.9	Henry Koster	0	Harvey
1922	94	7.9	F.W. Murnau	0	Nosferatu
2005	129	7.9	Jean-Marc Vallée	0	C.R.A.Z.Y.
2004	121	7.9	Fatih Akin	0	Gegen die Wand
1995	111	7.9	Yoshifumi Kondô	0	Mimi wo sumaseba
1971	91	7.9	Hal Ashby	0	Harold and Maude
1962	126	7.9	John Frankenheimer	0	The Manchurian Candidate
1956	119	7.9	John Ford	0	The Searchers
1955	118	7.9	Elia Kazan	0	East of Eden
1940	112	7.9	George Cukor	0	The Philadelphia Story
1932	64	7.9	Tod Browning	0	Freaks
2016	106	7.9	John Carney	3237118	Sing Street
2011	157	7.9	Nuri Bilge Ceylan	138730	Bir Zamanlar Anadolu'da
2007	113	7.9	Cristian Mungiu	1185783	4 luni, 3 saptamâni si 2 zile
2009	87	7.9	Wes Anderson	21002919	Fantastic Mr. Fox
2004	97	7.9	Christophe Barratier	3635164	Les choristes
2002	120	7.9	Yimou Zhang	53710019	Ying xiong
1989	104	7.9	Woody Allen	18254702	Crimes and Misdemeanors
1986	107	7.9	Woody Allen	40084041	Hannah and Her Sisters
1972	102	7.9	Luis Buñuel	198809	Le charme discret de la bourgeoisie
1968	96	7.9	George A. Romero	89029	Night of the Living Dead
1968	134	7.9	Anthony Harvey	22276975	The Lion in Winter
1959	90	7.9	Alain Resnais	88300	Hiroshima mon amour
1952	85	7.9	Fred Zinnemann	9450000	High Noon
1947	96	7.9	George Seaton	2650000	Miracle on 34th Street
1946	114	7.9	Howard Hawks	6540000	The Big Sleep
1945	101	7.9	Billy Wilder	9460000	The Lost Weekend
1940	92	7.9	Howard Hawks	296000	His Girl Friday
1938	102	7.9	Michael Curtiz	3981000	The Adventures of Robin Hood
1935	96	7.9	Sam Wood	2537520	A Night at the Opera
1933	100	7.9	Merian C. Cooper	10000000	King Kong
2016	118	7.9	Matt Ross	5875006	Captain Fantastic
2013	109	7.9	Richard Linklater	8114627	Before Midnight
2019	209	7.9	Martin Scorsese	7000000	The Irishman
2009	97	7.9	Duncan Jones	5009677	Moon
2008	114	7.9	Tomas Alfredson	2122065	Låt den rätte komma in
2008	107	7.9	Martin McDonagh	7757130	In Bruges
2006	117	7.9	Tarsem Singh	2280348	The Fall
2002	112	7.9	Pedro Almodóvar	9284265	Hable con ella
2001	98	7.9	Danis Tanovic	1059830	No Man's Land
2000	114	7.9	Fabián Bielinsky	1221261	Nueve reinas
2001	147	7.9	David Lynch	7220243	Mulholland Dr.
1997	155	7.9	Paul Thomas Anderson	26400640	Boogie Nights
1993	119	7.9	Tony Scott	12281500	True Romance
1984	82	7.9	Rob Reiner	188751	This Is Spinal Tap
1979	96	7.9	Woody Allen	45700000	Manhattan
1973	114	7.9	Alejandro Jodorowsky	61001	La montaña sagrada
2019	130	7.9	Rian Johnson	165359751	Knives Out
2017	132	7.9	Luca Guadagnino	18095701	Call Me by Your Name
2016	100	7.9	Ken Loach	258168	I, Daniel Blake
2016	101	7.9	Taika Waititi	5202582	Hunt for the Wilderpeople
2017	130	7.9	Taika Waititi	315058289	Thor: Ragnarok
2019	108	7.9	Taika Waititi	349555	Jojo Rabbit
2016	116	7.9	Denis Villeneuve	100546139	Arrival
2014	132	7.9	Bryan Singer	233921534	X-Men: Days of Future Past
2014	113	7.9	Doug Liman	100206256	Edge of Tomorrow
2012	127	7.9	Michael Haneke	6739492	Amour
2008	109	7.9	Darren Aronofsky	26236603	The Wrestler
2009	127	7.9	J.J. Abrams	257730019	Star Trek
2006	141	7.9	Clint Eastwood	13756082	Letters from Iwo Jima
2008	126	7.9	Jon Favreau	318412101	Iron Man
2004	99	7.9	Edgar Wright	13542874	Shaun of the Dead
2002	119	7.9	Doug Liman	121661683	The Bourne Identity
2018	121	7.9	Hirokazu Koreeda	3313513	Manbiki kazoku
2014	117	7.9	Dan Gilroy	32381218	Nightcrawler
2009	155	7.9	Jacques Audiard	2084637	Un prophète
2009	112	7.9	Neill Blomkamp	115646235	District 9
2014	165	7.9	Richard Linklater	25379975	Boyhood
2003	138	7.9	Clint Eastwood	90135191	Mystic River
2006	109	7.9	Alfonso Cuarón	35552383	Children of Men
2000	122	7.9	Cameron Crowe	32534850	Almost Famous
1994	102	7.9	Lee Tamahori	2201126	Once Were Warriors
1993	144	7.9	Brian De Palma	36948322	Carlito's Way
1987	119	7.9	Brian De Palma	76270454	The Untouchables
1979	123	7.9	Bob Fosse	37823676	All That Jazz
1978	127	7.9	George A. Romero	5100000	Dawn of the Dead
1969	145	7.9	Sam Peckinpah	12064472	The Wild Bunch
1960	197	7.9	Stanley Kubrick	30000000	Spartacus
1951	101	7.9	Alfred Hitchcock	7630000	Strangers on a Train
2019	137	7.9	Noah Baumbach	2000000	Marriage Story
2018	101	7.9	Wes Anderson	32015231	Isle of Dogs
2015	138	7.9	J.J. Abrams	936662225	Star Wars: Episode VII - The Force Awakens
2011	100	7.9	Michel Hazanavicius	44671682	The Artist
2007	138	7.9	Imtiaz Ali	410800	Jab We Met
2012	127	7.9	Ang Lee	124987023	Life of Pi
2004	142	7.9	Alfonso Cuarón	249358727	Harry Potter and the Prisoner of Azkaban
2001	115	7.9	Shin'ichirô Watanabe	1000045	Cowboy Bebop: Tengoku no tobira
1999	92	7.9	John Lasseter	245852179	Toy Story 2
1993	94	7.9	Krzysztof Kieslowski	1324974	Trois couleurs: Bleu
1990	105	7.9	Tim Burton	56362352	Edward Scissorhands
1989	103	7.9	Jim Sheridan	14743391	My Left Foot: The Story of Christy Brown
1985	132	7.9	Terry Gilliam	9929135	Brazil
1983	93	7.9	Bob Clark	20605209	A Christmas Story
1980	133	7.9	John Landis	57229890	The Blues Brothers
1976	138	7.9	Alan J. Pakula	70600000	All the President's Men
1970	172	7.9	Franklin J. Schaffner	61700000	Patton
1967	110	7.9	Norman Jewison	24379978	In the Heat of the Night
1963	113	7.9	Stanley Donen	13474588	Charade
1956	220	7.9	Cecil B. DeMille	93740000	The Ten Commandments
1946	102	7.9	Alfred Hitchcock	10464000	Notorious
2018	138	7.8	Meghna Gulzar	0	Raazi
2016	96	7.8	Paolo Genovese	0	Perfetti sconosciuti
2016	148	7.8	Abhishek Chaubey	0	Udta Punjab
2010	106	7.8	Tetsuya Nakashima	0	Kokuhaku
1992	128	7.8	John Woo	0	Lat sau san taam
1948	133	7.8	Howard Hawks	0	Red River
1948	100	7.8	John Huston	0	Key Largo
1944	100	7.8	Howard Hawks	0	To Have and Have Not
2019	113	7.8	Guy Ritchie	0	The Gentlemen
2019	120	7.8	Darius Marder	0	Sound of Metal
2014	119	7.8	Matthew Warchus	0	Pride
2008	125	7.8	Hong-jin Na	0	Chugyeokja
2020	129	7.8	Aaron Sorkin	0	The Trial of the Chicago 7
2020	117	7.8	Thomas Vinterberg	0	Druk
2000	110	7.8	Chan-wook Park	0	Gongdong gyeongbi guyeok JSA
1989	103	7.8	Hayao Miyazaki	0	Majo no takkyûbin
1989	111	7.8	John Woo	0	Dip huet seung hung
1978	94	7.8	Terrence Malick	0	Days of Heaven
1975	129	7.8	John Huston	0	The Man Who Would Be King
1973	94	7.8	Terrence Malick	0	Badlands
1967	111	7.8	Arthur Penn	0	Bonnie and Clyde
1962	105	7.8	François Truffaut	0	Jules et Jim
1943	108	7.8	Alfred Hitchcock	0	Shadow of a Doubt
1939	96	7.8	John Ford	0	Stagecoach
1938	96	7.8	Alfred Hitchcock	0	The Lady Vanishes
1938	102	7.8	Howard Hawks	0	Bringing Up Baby
1933	69	7.8	Leo McCarey	0	Duck Soup
1932	93	7.8	Howard Hawks	0	Scarface: The Shame of the Nation
1931	70	7.8	James Whale	0	Frankenstein
2016	101	7.8	Travis Knight	48023088	Kubo and the Two Strings
2013	130	7.8	Asghar Farhadi	1330596	Le passé
2013	141	7.8	Paolo Sorrentino	2852400	La grande bellezza
2013	126	7.8	Hayao Miyazaki	5209580	Kaze tachinu
2010	144	7.8	Jee-woon Kim	128392	Ang-ma-reul bo-at-da
2008	94	7.8	Mark Herman	9030581	The Boy in the Striped Pyjamas
2007	122	7.8	Fatih Akin	741283	Auf der anderen Seite
2005	129	7.8	Joe Wright	38405088	Pride & Prejudice
2005	119	7.8	Joss Whedon	25514517	Serenity
2005	136	7.8	James Mangold	119519402	Walk the Line
2003	113	7.8	Mikael Håfström	15280	Ondskan
2003	80	7.8	Sylvain Chomet	7002255	Les triplettes de Belleville
2002	131	7.8	Kevin Reynolds	54234062	The Count of Monte Cristo
1999	108	7.8	Joe Johnston	32481825	October Sky
1997	103	7.8	Takeshi Kitano	233986	Hana-bi
1993	132	7.8	Mike Leigh	1769305	Naked
1993	76	7.8	Kevin Altieri	5617391	Batman: Mask of the Phantasm
1983	193	7.8	Philip Kaufman	21500000	The Right Stuff
1967	108	7.8	Terence Young	17550741	Wait Until Dark
1967	108	7.8	Stanley Kramer	56700000	Guess Who's Coming to Dinner
1962	178	7.8	Ken Annakin	39100000	The Longest Day
1935	75	7.8	James Whale	4360000	Bride of Frankenstein
2015	100	7.8	Martin Zandvliet	435266	Under sandet
2013	123	7.8	Richard Curtis	15322921	About Time
2013	131	7.8	Giuseppe Tornatore	85433	La migliore offerta
2011	158	7.8	David Fincher	102515793	The Girl with the Dragon Tattoo
2010	119	7.8	Jeong-beom Lee	6460	Ajeossi
2015	147	7.8	F. Gary Gray	161197785	Straight Outta Compton
2009	129	7.8	Bong Joon Ho	547292	Madeo
2009	152	7.8	Niels Arden Oplev	10095170	Män som hatar kvinnor
2007	86	7.8	John Carney	9439923	Once
2007	123	7.8	Joe Wright	50927067	Atonement
2009	141	7.8	Jaco Van Dormael	3600	Mr. Nobody
2005	94	7.8	Anders Thomas Jensen	1305	Adams æbler
2002	109	7.8	Lukas Moodysson	181655	Lilja 4-ever
2001	99	7.8	Richard Linklater	2892011	Waking Life
1999	101	7.8	Pedro Almodóvar	8264530	Todo sobre mi madre
1999	108	7.8	Troy Duffy	25812	The Boondock Saints
1996	159	7.8	Lars von Trier	4040691	Breaking the Waves
1993	130	7.8	George P. Cosmatos	56505065	Tombstone
1993	121	7.8	Robert De Niro	17266971	A Bronx Tale
1991	129	7.8	Jim Jarmusch	2015810	Night on Earth
1991	98	7.8	Krzysztof Kieslowski	1999955	La double vie de Véronique
1990	107	7.8	Rob Reiner	61276872	Misery
1989	122	7.8	Edward Zwick	26830000	Glory
1986	107	7.8	Jim Jarmusch	1436000	Down by Law
2016	124	7.8	Asghar Farhadi	2402067	Forushande
2017	106	7.8	Christopher Nolan	188373161	Dunkirk
2016	127	7.8	Theodore Melfi	169607287	Hidden Figures
2016	137	7.8	Kenneth Lonergan	47695120	Manchester by the Sea
2016	133	7.8	Gareth Edwards	532177324	Rogue One
2016	147	7.8	Anthony Russo	408084349	Captain America: Civil War
2017	94	7.8	Dorota Kobiela	6735118	Loving Vincent
2012	126	7.8	Shoojit Sircar	169209	Vicky Donor
2013	134	7.8	Paul Greengrass	107100855	Captain Phillips
2013	161	7.8	Peter Jackson	258366855	The Hobbit: The Desolation of Smaug
2009	144	7.8	Michael Haneke	2222647	Das weiße Band - Eine deutsche Kindergeschichte
2010	116	7.8	David O. Russell	93617009	The Fighter
2012	169	7.8	Peter Jackson	303003568	The Hobbit: An Unexpected Journey
2009	162	7.8	James Cameron	760507625	Avatar
2006	101	7.8	Jonathan Dayton	59891098	Little Miss Sunshine
2007	121	7.8	Edgar Wright	23637265	Hot Fuzz
2008	166	7.8	David Fincher	127509326	The Curious Case of Benjamin Button
2003	90	7.8	Satoshi Kon	128985	Tôkyô goddofâzâzu
2000	120	7.8	Ang Lee	128078872	Wo hu cang long
2000	143	7.8	Robert Zemeckis	233632142	Cast Away
1999	157	7.8	Michael Mann	28965197	The Insider
1997	194	7.8	James Cameron	659325379	Titanic
1997	106	7.8	Andrew Niccol	12339633	Gattaca
1997	129	7.8	David Fincher	48323648	The Game
1985	97	7.8	John Hughes	45875171	The Breakfast Club
1984	141	7.8	Roland Joffé	34700291	The Killing Fields
1984	105	7.8	Ivan Reitman	238632124	Ghostbusters
2015	168	7.8	Quentin Tarantino	54117416	The Hateful Eight
2012	94	7.8	Wes Anderson	45512466	Moonrise Kingdom
2015	130	7.8	Adam McKay	70259870	The Big Short
2008	90	7.8	Pierre Morel	145000989	Taken
2011	100	7.8	Nicolas Winding Refn	35061555	Drive
2007	157	7.8	Ridley Scott	130164645	American Gangster
2006	139	7.8	Mel Gibson	50866635	Apocalypto
2004	123	7.8	Nick Cassavetes	81001787	The Notebook
1991	112	7.8	John Singleton	57504069	Boyz n the Hood
1988	128	7.8	Alan Parker	34603943	Mississippi Burning
1987	107	7.8	John McTiernan	59735548	Predator
1987	84	7.8	Sam Raimi	5923044	Evil Dead II
1979	105	7.8	Robert Benton	106260000	Kramer vs. Kramer
1976	135	7.8	Clint Eastwood	31800000	The Outlaw Josey Wales
1973	143	7.8	Fred Zinnemann	16056255	The Day of the Jackal
1972	124	7.8	Bob Fosse	42765000	Cabaret
1969	113	7.8	John Schlesinger	44785053	Midnight Cowboy
1961	100	7.8	Jack Clayton	2616000	The Innocents
2017	103	7.8	Paul King	40442052	Paddington 2
2016	184	7.8	Neeraj Pandey	1782795	M.S. Dhoni: The Untold Story
2019	135	7.8	Greta Gerwig	108101214	Little Women
2013	104	7.8	Ritesh Batra	4231500	The Lunchbox
2014	102	7.8	Don Hall	222527828	Big Hero 6
2012	134	7.8	Gauri Shinde	1670773	English Vinglish
2019	100	7.8	Josh Cooley	434038008	Toy Story 4
2014	102	7.8	Dean DeBlois	177002924	How to Train Your Dragon 2
2004	192	7.8	Yash Chopra	2921738	Veer-Zaara
2005	127	7.8	Roger Donaldson	5128124	The World's Fastest Indian
2004	126	7.8	Walter Salles	16756372	Diarios de motocicleta
2000	113	7.8	Boaz Yakin	115654751	Remember the Titans
2001	90	7.8	Andrew Adamson	267665011	Shrek
1994	127	7.8	Tim Burton	5887457	Ed Wood
1993	118	7.8	Lasse Hallström	9170214	What's Eating Gilbert Grape
1993	101	7.8	David Mickey Evans	32416586	The Sandlot
1993	134	7.8	James Ivory	22954968	The Remains of the Day
1993	130	7.8	Andrew Davis	183875760	The Fugitive
1990	121	7.8	Penny Marshall	52096475	Awakenings
1989	108	7.8	Robert Zemeckis	118500000	Back to the Future Part II
1986	103	7.8	John Hughes	70136369	Ferris Bueller's Day Off
1985	114	7.8	Richard Donner	61503218	The Goonies
1985	154	7.8	Steven Spielberg	98467863	The Color Purple
1982	109	7.8	Martin Scorsese	2500000	The King of Comedy
1982	115	7.8	Steven Spielberg	435110554	E.T. the Extra-Terrestrial
1974	113	7.8	Francis Ford Coppola	4420000	The Conversation
1973	72	7.8	René Laloux	193817	La planète sauvage
1971	100	7.8	Mel Stuart	4000000	Willy Wonka & the Chocolate Factory
1964	170	7.8	George Cukor	72000000	My Fair Lady
1964	139	7.8	Robert Stevenson	102272727	Mary Poppins
1960	90	7.8	Jean-Luc Godard	336705	À bout de souffle
2006	98	7.7	Mamoru Hosoda	0	Toki o kakeru shôjo
2006	126	7.7	Shûsuke Kaneko	0	Death Note: Desu nôto
2002	116	7.7	Bob Gale	0	Interstate 60: Episodes of the Road
1988	107	7.7	George Sluizer	0	Spoorloos
1951	92	7.7	Robert Wise	0	The Day the Earth Stood Still
1946	110	7.7	Charles Vidor	0	Gilda
2018	135	7.7	Alfonso Cuarón	0	Roma
1995	99	7.7	Kar-Wai Wong	0	Do lok tin si
1992	94	7.7	Hayao Miyazaki	0	Kurenai no buta
1979	100	7.7	Hayao Miyazaki	0	Rupan sansei: Kariosutoro no shiro
1975	85	7.7	Woody Allen	0	Love and Death
1974	104	7.7	Joseph Sargent	0	The Taking of Pelham One Two Three
1968	158	7.7	Brian G. Hutton	0	Where Eagles Dare
1965	105	7.7	Roman Polanski	0	Repulsion
1964	138	7.7	Cy Endfield	0	Zulu
1962	106	7.7	J. Lee Thompson	0	Cape Fear
1956	80	7.7	Don Siegel	0	Invasion of the Body Snatchers
1955	111	7.7	Nicholas Ray	0	Rebel Without a Cause
1955	91	7.7	Alexander Mackendrick	0	The Ladykillers
1954	113	7.7	Billy Wilder	0	Sabrina
1933	71	7.7	James Whale	0	The Invisible Man
2017	104	7.7	Francis Lee	335609	God's Own Country
2015	116	7.7	Hannes Holm	3358518	En man som heter Ove
2015	105	7.7	Alfonso Gomez-Rejon	6743776	Me and Earl and the Dying Girl
2012	111	7.7	Felix van Groeningen	175058	The Broken Circle Breakdown
2015	108	7.7	Mark Osborne	1339152	Le Petit Prince
2011	98	7.7	Tony Kaye	71177	Detachment
2011	96	7.7	Woody Allen	56816662	Midnight in Paris
2015	137	7.7	Cary Joji Fukunaga	83861	Beasts of No Nation
2010	90	7.7	Rob Reiner	1752214	Flipped
2006	101	7.7	Shane Meadows	327919	This Is England
2005	116	7.7	Christian Carion	1054361	Joyeux Noël
2002	105	7.7	Jim Sheridan	15539266	In America
2001	132	7.7	Jessie Nelson	40311852	I Am Sam
1998	134	7.7	Todd Solondz	2807390	Happiness
1998	80	7.7	Francis Veber	4065116	Le dîner de cons
1996	242	7.7	Kenneth Branagh	4414535	Hamlet
1992	85	7.7	Brian Henson	27281507	The Muppet Christmas Carol
1991	130	7.7	Jon Avnet	82418501	Fried Green Tomatoes
1983	79	7.7	Woody Allen	11798616	Zelig
1968	105	7.7	Gene Saks	44527234	The Odd Couple
1967	150	7.7	Robert Aldrich	45300000	The Dirty Dozen
1960	101	7.7	Michael Powell	83957	Peeping Tom
1960	128	7.7	John Sturges	4905000	The Magnificent Seven
1960	90	7.7	Georges Franju	52709	Les yeux sans visage
1952	129	7.7	John Ford	10550000	The Quiet Man
1951	105	7.7	John Huston	536118	The African Queen
1940	125	7.7	James Algar	76408097	Fantasia
2018	119	7.7	David Leitch	324591735	Deadpool 2
2017	107	7.7	Taylor Sheridan	33800859	Wind River
2017	104	7.7	Jordan Peele	176040665	Get Out
2014	86	7.7	Jemaine Clement	3333000	What We Do in the Shadows
2008	122	7.7	Ron Howard	18593156	Frost/Nixon
2008	141	7.7	Clint Eastwood	35739802	Changeling
2006	120	7.7	Susanne Bier	412544	Efter brylluppet
2006	123	7.7	Kevin Macdonald	17605861	The Last King of Scotland
2006	110	7.7	Paul McGuigan	22494487	Lucky Number Slevin
2007	122	7.7	Anton Corbijn	871577	Control
2006	145	7.7	Paul Verhoeven	4398392	Zwartboek
2004	101	7.7	Brad Anderson	1082715	The Machinist
2002	114	7.7	Peter Mullan	4890878	The Magdalene Sisters
2003	121	7.7	Wolfgang Becker	4064200	Good Bye Lenin!
2002	115	7.7	Spike Jonze	22245861	Adaptation.
2001	120	7.7	Oliver Hirschbiegel	141072	Das Experiment
2000	110	7.7	Stephen Daldry	21995263	Billy Elliot
2001	95	7.7	John Cameron Mitchell	3029081	Hedwig and the Angry Inch
1999	89	7.7	Mike Judge	10824921	Office Space
1999	113	7.7	Spike Jonze	22858926	Being John Malkovich
1994	92	7.7	Kevin Smith	3151130	Clerks
1993	188	7.7	Robert Altman	6110979	Short Cuts
1992	100	7.7	James Foley	10725228	Glengarry Glen Ross
1990	115	7.7	Joel Coen	5080409	Miller's Crossing
1987	107	7.7	Bruce Robinson	1544889	Withnail & I
1986	130	7.7	Jean-Jacques Annaud	7153487	Der Name der Rose
1976	126	7.7	Roman Polanski	1924733	Le locataire
2018	147	7.7	Christopher McQuarrie	220159104	Mission: Impossible - Fallout
2014	126	7.7	Josh Boone	124872350	The Fault in Our Stars
2014	136	7.7	Anthony Russo	259766572	Captain America: The Winter Soldier
2011	159	7.7	Imtiaz Ali	985912	Rockstar
2013	115	7.7	Alexander Payne	17654912	Nebraska
2013	91	7.7	Alfonso Cuarón	274092705	Gravity
2013	132	7.7	J.J. Abrams	228778661	Star Trek Into Darkness
2010	120	7.7	David Fincher	96962694	The Social Network
2011	131	7.7	Matthew Vaughn	146408305	X: First Class
2009	100	7.7	Todd Phillips	277322503	The Hangover
2012	143	7.7	Sam Mendes	304360277	Skyfall
2009	95	7.7	Marc Webb	32391374	(500) Days of Summer
2014	108	7.7	Alex Garland	25442958	Ex Machina
2007	157	7.7	David Fincher	33080084	Zodiac
2004	112	7.7	Paul Haggis	54580300	Crash
2004	99	7.7	Stephen Chow	17108591	Kung fu
2003	102	7.7	Sofia Coppola	44585453	Lost in Translation
2005	157	7.7	Mike Newell	290013036	Harry Potter and the Goblet of Fire
2004	146	7.7	Tony Scott	77911774	Man on Fire
2003	154	7.7	Edward Zwick	111110575	The Last Samurai
2001	116	7.7	Steven Soderbergh	183417150	Ocean's Eleven
1998	93	7.7	Wes Anderson	17105219	Rushmore
1997	126	7.7	Luc Besson	63540020	The Fifth Element
1993	125	7.7	Jonathan Demme	77324422	Philadelphia
1992	112	7.7	Michael Mann	75505856	The Last of the Mohicans
1985	97	7.7	Martin Scorsese	10600000	After Hours
2014	129	7.7	Matthew Vaughn	128261724	Kingsman: The Secret Service
2014	119	7.7	Alejandro G. Iñárritu	42340598	Birdman or (The Unexpected Virtue of Ignorance)
2013	180	7.7	Abdellatif Kechiche	2199675	La vie d'Adèle
2012	122	7.7	David O. Russell	132092958	Silver Linings Playbook
2012	120	7.7	Ben Affleck	136025503	Argo
2010	146	7.7	David Yates	295983305	Harry Potter and the Deathly Hallows: Part 1
2005	134	7.7	Ang Lee	83043761	Brokeback Mountain
2007	122	7.7	James Mangold	53606916	3:10 to Yuma
2004	108	7.7	Paul Greengrass	176241941	The Bourne Supremacy
2004	152	7.7	Taylor Hackford	75331600	Ray
2001	144	7.7	Ridley Scott	108638745	Black Hawk Down
2002	117	7.7	Sam Mendes	104454762	Road to Perdition
1999	81	7.7	Trey Parker	52037603	South Park: Bigger, Longer & Uncut
2001	122	7.7	Antoine Fuqua	76631907	Training Day
1997	139	7.7	James L. Brooks	148478011	As Good as It Gets
1997	127	7.7	Mike Newell	41909762	Donnie Brasco
1996	129	7.7	Gregory Hoblit	56116183	Primal Fear
1986	120	7.7	David Lynch	8551228	Blue Velvet
1982	93	7.7	Ted Kotcheff	47212904	First Blood
1978	91	7.7	John Carpenter	47000000	Halloween
1974	93	7.7	Mel Brooks	119500000	Blazing Saddles
1973	130	7.7	Sidney Lumet	29800000	Serpico
1973	102	7.7	Robert Clouse	25000000	Enter the Dragon
1971	104	7.7	William Friedkin	15630710	The French Connection
1971	102	7.7	Don Siegel	35900000	Dirty Harry
1967	100	7.7	Luis Buñuel	26331	Belle de jour
1964	110	7.7	Guy Hamilton	51081062	Goldfinger
1963	119	7.7	Alfred Hitchcock	11403529	The Birds
2014	103	7.7	James Simone	765127	Omoide no Mânî
2014	123	7.7	James Marsh	35893537	The Theory of Everything
2013	130	7.7	Abhishek Kapoor	1122527	Kai po che!
2012	101	7.7	Rich Moore	189422889	Wreck-It Ralph
2014	100	7.7	Christopher Miller	257760692	The Lego Movie
2008	101	7.7	Hayao Miyazaki	15090400	Gake no ue no Ponyo
2006	90	7.7	Satoshi Kon	881302	Papurika
2010	100	7.7	Nathan Greno	200821936	Tangled
2009	100	7.7	Henry Selick	75286229	Coraline
2000	103	7.7	Yoshiaki Kawajiri	151086	Vampire Hunter D: Bloodlust
2000	107	7.7	Joel Coen	45512588	O Brother, Where Art Thou?
1997	119	7.7	Alejandro Amenábar	368234	Abre los ojos
1996	105	7.7	Scott Hicks	35811509	Shine
1995	97	7.7	Alfonso Cuarón	10019307	A Little Princess
1994	108	7.7	Michael Radford	21848932	Il postino
1992	202	7.7	Spike Lee	48169908	Malcolm X
1992	138	7.7	Rob Reiner	141340178	A Few Good Men
1991	116	7.7	Joel Coen	6153939	Barton Fink
1988	104	7.7	Robert Zemeckis	156452370	Who Framed Roger Rabbit
1987	163	7.7	Bernardo Bertolucci	43984230	The Last Emperor
1987	153	7.7	Steven Spielberg	22238696	Empire of the Sun
1985	82	7.7	Woody Allen	10631333	The Purple Rose of Cairo
1982	129	7.7	Sidney Lumet	54000000	The Verdict
1982	113	7.7	Nicholas Meyer	78912963	Star Trek II: The Wrath of Khan
1980	124	7.7	Robert Redford	54800000	Ordinary People
1980	88	7.7	Jim Abrahams	83400000	Airplane!
1972	109	7.7	John Boorman	7056013	Deliverance
1966	120	7.7	Fred Zinnemann	28350000	A Man for All Seasons
2012	112	7.6	Oriol Paulo	0	El cuerpo
2009	113	7.6	Daniel Monzón	0	Celda 211
2008	107	7.6	Dennis Gansel	0	Die Welle
2019	126	7.6	Todd Haynes	0	Dark Waters
2019	137	7.6	Destin Daniel Cretton	0	Just Mercy
2015	138	7.6	Sebastian Schipper	0	Victoria
2000	114	7.6	Kinji Fukasaku	0	Batoru rowaiaru
1997	108	7.6	Michael Haneke	0	Funny Games
1978	91	7.6	Martin Rosen	0	Watership Down
1966	111	7.6	Michelangelo Antonioni	0	Blowup
1961	115	7.6	Blake Edwards	0	Breakfast at Tiffany's
1956	201	7.6	George Stevens	0	Giant
1944	97	7.6	Alfred Hitchcock	0	Lifeboat
1935	86	7.6	Alfred Hitchcock	0	The 39 Steps
2018	102	7.6	Aneesh Chaganty	26020957	Searching
2017	101	7.6	Marc Webb	24801212	Gifted
2019	97	7.6	Tyler Nilson	13122642	The Peanut Butter Falcon
2015	97	7.6	Deniz Gamze Ergüven	845464	Mustang
2013	98	7.6	Stephen Frears	37707719	Philomena
2010	110	7.6	Ethan Coen	171243005	True Grit
2011	133	7.6	Bennett Miller	75605492	Moneyball
2009	128	7.6	Guy Ritchie	209028679	Sherlock Holmes
2007	104	7.6	Tom McCarthy	9422422	The Visitor
2009	71	7.6	Tomm Moore	686383	The Secret of Kells
2007	140	7.6	Olivier Dahan	10301706	La Vie En Rose
2006	104	7.6	Ronny Yu	24633730	Huo Yuan Jia
2004	90	7.6	Shane Meadows	6013	Dead Man's Shoes
2001	101	7.6	Alejandro Amenábar	96522687	The Others
1971	157	7.6	Sergio Leone	696690	Giù la testa
1970	144	7.6	Brian G. Hutton	1378435	Kelly's Heroes
1953	118	7.6	Fred Zinnemann	30500000	From Here to Eternity
2017	127	7.6	Andrey Zvyagintsev	566356	Nelyubov
2014	140	7.6	Andrey Zvyagintsev	1092800	Leviafan
2016	102	7.6	David Mackenzie	26862450	Hell or High Water
2010	118	7.6	Susanne Bier	1008098	Hævnen
2011	100	7.6	Jonathan Levine	35014192	50/50
2011	120	7.6	Pedro Almodóvar	3185812	La piel que habito
2007	100	7.6	David Cronenberg	17114882	Eastern Promises
2006	129	7.6	Spike Lee	88513495	Inside Man
2007	114	7.6	Ben Affleck	20300218	Gone Baby Gone
2005	124	7.6	Woody Allen	23089926	Match Point
2005	122	7.6	Andrew Niccol	24149632	Lord of War
2008	124	7.6	Charlie Kaufman	3081925	Synecdoche, New York
2004	105	7.6	Gregg Araki	697181	Mysterious Skin
2003	93	7.6	Yann Samuell	548707	Jeux d'enfants
2003	89	7.6	Tom McCarthy	5739376	The Station Agent
2002	129	7.6	Chan-wook Park	45289	Boksuneun naui geot
2002	135	7.6	Spike Lee	13060843	25th Hour
2001	124	7.6	Ted Demme	52990775	Blow
1999	146	7.6	Norman Jewison	50668906	The Hurricane
1998	118	7.6	Terry Gilliam	10680275	Fear and Loathing in Las Vegas
1995	121	7.6	Jim Jarmusch	1037847	Dead Man
1993	113	7.6	Joel Schumacher	40903593	Falling Down
1991	99	7.6	Marc Caro	1794187	Delicatessen
2017	136	7.6	James Gunn	389813101	Guardians of the Galaxy Vol. 2
2017	113	7.6	Edgar Wright	107825862	Baby Driver
